,Date,High,Low,Open,Price
2159,2012-01-09,"1,623.69","1,604.94","1,616.78","1,611.50"
2160,2012-01-06,"1,630.56","1,608.89","1,621.44","1,616.85"
2161,2012-01-05,"1,625.86","1,596.74","1,611.39","1,623.00"
2162,2012-01-04,"1,618.92","1,593.10","1,602.75","1,612.40"
2163,2012-01-03,"1,607.45","1,565.85","1,566.20","1,604.14"
2164,2012-01-02,"1,569.61","1,565.37","1,566.61","1,566.27"
2165,2011-12-30,"1,581.26","1,544.75","1,545.89","1,564.30"
2166,2011-12-29,"1,561.51","1,522.64","1,556.39","1,546.70"
2167,2011-12-28,"1,593.81","1,550.10","1,593.75","1,553.00"
2168,2011-12-27,"1,607.79","1,589.75","1,607.51","1,592.90"
2169,2011-12-26,"1,612.15","1,597.86","1,607.51","1,605.82"
2170,2011-12-23,"1,614.31","1,603.15","1,606.75","1,606.60"
2171,2011-12-22,"1,617.36","1,599.15","1,615.35","1,604.70"
2172,2011-12-21,"1,642.36","1,606.40","1,615.26","1,615.15"
2173,2011-12-20,"1,619.12","1,592.35","1,594.26","1,615.65"
2174,2011-12-19,"1,608.50","1,583.44","1,599.35","1,594.10"
2175,2011-12-16,"1,600.95","1,568.86","1,570.24","1,597.95"
2176,2011-12-15,"1,594.26","1,561.07","1,574.49","1,570.70"
2177,2011-12-14,"1,641.89","1,564.85","1,632.11","1,575.10"
2178,2011-12-13,"1,678.30","1,622.75","1,666.25","1,632.10"
2179,2011-12-12,"1,715.05","1,657.90","1,711.64","1,666.30"
2180,2011-12-09,"1,724.30","1,703.54","1,708.29","1,711.10"
2181,2011-12-08,"1,754.70","1,704.51","1,742.00","1,708.80"
2182,2011-12-07,"1,743.26","1,720.65","1,728.46","1,742.10"
2183,2011-12-06,"1,733.46","1,702.85","1,722.50","1,728.20"
2184,2011-12-05,"1,755.30","1,718.44","1,746.15","1,721.64"
2185,2011-12-02,"1,762.61","1,738.15","1,745.16","1,745.25"
2186,2011-12-01,"1,754.86","1,734.10","1,746.85","1,745.25"
2187,2011-11-30,"1,750.23","1,701.00","1,714.99","1,745.70"
2188,2011-11-29,"1,720.76","1,704.11","1,712.05","1,716.75"
2189,2011-11-28,"1,720.49","1,680.80","1,680.80","1,712.30"
2190,2011-11-25,"1,697.90","1,672.09","1,694.85","1,680.13"
2191,2011-11-24,"1,702.23","1,687.69","1,692.39","1,694.75"
2192,2011-11-23,"1,710.77","1,677.94","1,700.66","1,693.30"
2193,2011-11-22,"1,705.80","1,671.55","1,679.30","1,699.20"
2194,2011-11-21,"1,726.64","1,666.54","1,723.30","1,680.85"
2195,2011-11-18,"1,737.79","1,711.34","1,722.29","1,723.05"
2196,2011-11-17,"1,767.16","1,710.05","1,762.19","1,719.10"
